index,tenor,date,fixing
EUR-EURIBOR-Reuters,3M,12/02/2007,0.03809
EUR-EURIBOR-Reuters,6M,12/02/2007,0.03937
EUR-EURIBOR-Reuters,12M,12/02/2007,0.04093
EUR-EONIA-OIS-COMPOUND,1D,13/02/2007,0.0371
EUR-EURIBOR-Reuters,1W,13/02/2007,0.03585
EUR-EURIBOR-Reuters,2W,13/02/2007,0.03593
EUR-EURIBOR-Reuters,1M,13/02/2007,0.03611
EUR-EURIBOR-Reuters,3M,13/02/2007,0.03814
EUR-EURIBOR-Reuters,6M,13/02/2007,0.03945
EUR-EURIBOR-Reuters,12M,13/02/2007,0.04099
EUR-EONIA-OIS-COMPOUND,1D,14/02/2007,0.0357
EUR-EURIBOR-Reuters,1W,14/02/2007,0.03585
EUR-EURIBOR-Reuters,2W,14/02/2007,0.03594
EUR-EURIBOR-Reuters,1M,14/02/2007,0.03615
EUR-EURIBOR-Reuters,3M,14/02/2007,0.03815
EUR-EURIBOR-Reuters,6M,14/02/2007,0.03945
EUR-EURIBOR-Reuters,12M,14/02/2007,0.04107
EUR-EONIA-OIS-COMPOUND,1D,15/02/2007,0.0357
EUR-EURIBOR-Reuters,1W,15/02/2007,0.03586
EUR-EURIBOR-Reuters,2W,15/02/2007,0.03594
EUR-EURIBOR-Reuters,1M,15/02/2007,0.0364
EUR-EURIBOR-Reuters,3M,15/02/2007,0.03825
EUR-EURIBOR-Reuters,6M,15/02/2007,0.03946
EUR-EURIBOR-Reuters,12M,15/02/2007,0.04101
EUR-EONIA-OIS-COMPOUND,1D,16/02/2007,0.0357
EUR-EURIBOR-Reuters,1W,16/02/2007,0.03586
EUR-EURIBOR-Reuters,2W,16/02/2007,0.03594
EUR-EURIBOR-Reuters,1M,16/02/2007,0.0365
EUR-EURIBOR-Reuters,3M,16/02/2007,0.03826
EUR-EURIBOR-Reuters,6M,16/02/2007,0.03947
EUR-EURIBOR-Reuters,12M,16/02/2007,0.04089
EUR-EONIA-OIS-COMPOUND,1D,19/02/2007,0.0357
EUR-EURIBOR-Reuters,1W,19/02/2007,0.03589
EUR-EURIBOR-Reuters,2W,19/02/2007,0.03594
EUR-EURIBOR-Reuters,1M,19/02/2007,0.03658
EUR-EURIBOR-Reuters,3M,19/02/2007,0.03831
EUR-EURIBOR-Reuters,6M,19/02/2007,0.03953
EUR-EURIBOR-Reuters,12M,19/02/2007,0.04115
EUR-EONIA-OIS-COMPOUND,1D,20/02/2007,0.0357
EUR-EURIBOR-Reuters,1W,20/02/2007,0.03592
EUR-EURIBOR-Reuters,2W,20/02/2007,0.03596
EUR-EURIBOR-Reuters,1M,20/02/2007,0.03669
EUR-EURIBOR-Reuters,3M,20/02/2007,0.03833
EUR-EURIBOR-Reuters,6M,20/02/2007,0.03957
EUR-EURIBOR-Reuters,12M,20/02/2007,0.04122
EUR-EONIA-OIS-COMPOUND,1D,21/02/2007,0.0357
EUR-EURIBOR-Reuters,1W,21/02/2007,0.03592
EUR-EURIBOR-Reuters,2W,21/02/2007,0.03594
EUR-EURIBOR-Reuters,1M,21/02/2007,0.03679
EUR-EURIBOR-Reuters,3M,21/02/2007,0.03835
EUR-EURIBOR-Reuters,6M,21/02/2007,0.03961
EUR-EURIBOR-Reuters,12M,21/02/2007,0.04112
EUR-EONIA-OIS-COMPOUND,1D,22/02/2007,0.0357
EUR-EURIBOR-Reuters,1W,22/02/2007,0.03592
EUR-EURIBOR-Reuters,2W,22/02/2007,0.03594
EUR-EURIBOR-Reuters,1M,22/02/2007,0.03703
EUR-EURIBOR-Reuters,3M,22/02/2007,0.03843
EUR-EURIBOR-Reuters,6M,22/02/2007,0.03971
EUR-EURIBOR-Reuters,12M,22/02/2007,0.04116
EUR-EONIA-OIS-COMPOUND,1D,23/02/2007,0.0357
EUR-EURIBOR-Reuters,1W,23/02/2007,0.03591
EUR-EURIBOR-Reuters,2W,23/02/2007,0.03594
EUR-EURIBOR-Reuters,1M,23/02/2007,0.03712
EUR-EURIBOR-Reuters,3M,23/02/2007,0.03846
EUR-EURIBOR-Reuters,6M,23/02/2007,0.03973
EUR-EURIBOR-Reuters,12M,23/02/2007,0.04123
EUR-EONIA-OIS-COMPOUND,1D,26/02/2007,0.0357
EUR-EURIBOR-Reuters,1W,26/02/2007,0.03592
EUR-EURIBOR-Reuters,2W,26/02/2007,0.03594
EUR-EURIBOR-Reuters,1M,26/02/2007,0.03732
EUR-EURIBOR-Reuters,3M,26/02/2007,0.03853
EUR-EURIBOR-Reuters,6M,26/02/2007,0.03972
EUR-EURIBOR-Reuters,12M,26/02/2007,0.04111
EUR-EONIA-OIS-COMPOUND,1D,27/02/2007,0.0356
EUR-EURIBOR-Reuters,1W,27/02/2007,0.03591
EUR-EURIBOR-Reuters,2W,27/02/2007,0.03606
EUR-EURIBOR-Reuters,1M,27/02/2007,0.03745
EUR-EURIBOR-Reuters,3M,27/02/2007,0.03854
EUR-EURIBOR-Reuters,6M,27/02/2007,0.03973
EUR-EURIBOR-Reuters,12M,27/02/2007,0.04103
EUR-EONIA-OIS-COMPOUND,1D,28/02/2007,0.036
EUR-EURIBOR-Reuters,1W,28/02/2007,0.03587
EUR-EURIBOR-Reuters,2W,28/02/2007,0.03618
EUR-EURIBOR-Reuters,1M,28/02/2007,0.0375
EUR-EURIBOR-Reuters,3M,28/02/2007,0.03848
EUR-EURIBOR-Reuters,6M,28/02/2007,0.03947
EUR-EURIBOR-Reuters,12M,28/02/2007,0.04058
EUR-EONIA-OIS-COMPOUND,1D,01/03/2007,0.0357
EUR-EURIBOR-Reuters,1W,01/03/2007,0.03583
EUR-EURIBOR-Reuters,2W,01/03/2007,0.03672
EUR-EURIBOR-Reuters,1M,01/03/2007,0.03771
EUR-EURIBOR-Reuters,3M,01/03/2007,0.03856
EUR-EURIBOR-Reuters,6M,01/03/2007,0.0396
EUR-EURIBOR-Reuters,12M,01/03/2007,0.04077
EUR-EONIA-OIS-COMPOUND,1D,02/03/2007,0.0357
EUR-EURIBOR-Reuters,1W,02/03/2007,0.0358
EUR-EURIBOR-Reuters,2W,02/03/2007,0.03685
EUR-EURIBOR-Reuters,1M,02/03/2007,0.03786
EUR-EURIBOR-Reuters,3M,02/03/2007,0.03859
EUR-EURIBOR-Reuters,6M,02/03/2007,0.03954
EUR-EURIBOR-Reuters,12M,02/03/2007,0.0405
EUR-EONIA-OIS-COMPOUND,1D,05/03/2007,0.0356
EUR-EURIBOR-Reuters,1W,05/03/2007,0.03576
EUR-EURIBOR-Reuters,2W,05/03/2007,0.03707
EUR-EURIBOR-Reuters,1M,05/03/2007,0.03793
EUR-EURIBOR-Reuters,3M,05/03/2007,0.0386
EUR-EURIBOR-Reuters,6M,05/03/2007,0.03923
EUR-EURIBOR-Reuters,12M,05/03/2007,0.03995
EUR-EONIA-OIS-COMPOUND,1D,06/03/2007,0.0356
EUR-EURIBOR-Reuters,1W,06/03/2007,0.03601
EUR-EURIBOR-Reuters,2W,06/03/2007,0.03728
EUR-EURIBOR-Reuters,1M,06/03/2007,0.03803
EUR-EURIBOR-Reuters,3M,06/03/2007,0.03866
EUR-EURIBOR-Reuters,6M,06/03/2007,0.03952
EUR-EURIBOR-Reuters,12M,06/03/2007,0.04041
EUR-EONIA-OIS-COMPOUND,1D,07/03/2007,0.0355
EUR-EURIBOR-Reuters,1W,07/03/2007,0.03645
EUR-EURIBOR-Reuters,2W,07/03/2007,0.03743
EUR-EURIBOR-Reuters,1M,07/03/2007,0.03808
EUR-EURIBOR-Reuters,3M,07/03/2007,0.03868
EUR-EURIBOR-Reuters,6M,07/03/2007,0.0396
EUR-EURIBOR-Reuters,12M,07/03/2007,0.04052
EUR-EONIA-OIS-COMPOUND,1D,08/03/2007,0.0354
EUR-EURIBOR-Reuters,1W,08/03/2007,0.03753
EUR-EURIBOR-Reuters,2W,08/03/2007,0.03802
EUR-EURIBOR-Reuters,1M,08/03/2007,0.03839
EUR-EURIBOR-Reuters,3M,08/03/2007,0.03878
EUR-EURIBOR-Reuters,6M,08/03/2007,0.03966
EUR-EURIBOR-Reuters,12M,08/03/2007,0.04065
EUR-EONIA-OIS-COMPOUND,1D,09/03/2007,0.0352
EUR-EURIBOR-Reuters,1W,09/03/2007,0.03794
EUR-EURIBOR-Reuters,2W,09/03/2007,0.03822
EUR-EURIBOR-Reuters,1M,09/03/2007,0.03846
EUR-EURIBOR-Reuters,3M,09/03/2007,0.03885
EUR-EURIBOR-Reuters,6M,09/03/2007,0.03986
EUR-EURIBOR-Reuters,12M,09/03/2007,0.0409
EUR-EONIA-OIS-COMPOUND,1D,12/03/2007,0.0352
EUR-EURIBOR-Reuters,1W,12/03/2007,0.03834
EUR-EURIBOR-Reuters,2W,12/03/2007,0.03842
EUR-EURIBOR-Reuters,1M,12/03/2007,0.03855
EUR-EURIBOR-Reuters,3M,12/03/2007,0.03889
EUR-EURIBOR-Reuters,6M,12/03/2007,0.04003
EUR-EURIBOR-Reuters,12M,12/03/2007,0.04117
EUR-EONIA-OIS-COMPOUND,1D,13/03/2007,0.0311
EUR-EURIBOR-Reuters,1W,13/03/2007,0.03834
EUR-EURIBOR-Reuters,2W,13/03/2007,0.03842
EUR-EURIBOR-Reuters,1M,13/03/2007,0.03856
EUR-EURIBOR-Reuters,3M,13/03/2007,0.03889
EUR-EURIBOR-Reuters,6M,13/03/2007,0.04001
EUR-EURIBOR-Reuters,12M,13/03/2007,0.04105
EUR-EONIA-OIS-COMPOUND,1D,14/03/2007,0.0382
EUR-EURIBOR-Reuters,1W,14/03/2007,0.03835
EUR-EURIBOR-Reuters,2W,14/03/2007,0.03843
EUR-EURIBOR-Reuters,1M,14/03/2007,0.03855
EUR-EURIBOR-Reuters,3M,14/03/2007,0.03893
EUR-EURIBOR-Reuters,6M,14/03/2007,0.03992
EUR-EURIBOR-Reuters,12M,14/03/2007,0.04086
EUR-EONIA-OIS-COMPOUND,1D,15/03/2007,0.0382
EUR-EURIBOR-Reuters,1W,15/03/2007,0.03834
EUR-EURIBOR-Reuters,2W,15/03/2007,0.03844
EUR-EURIBOR-Reuters,1M,15/03/2007,0.03856
EUR-EURIBOR-Reuters,3M,15/03/2007,0.03896
EUR-EURIBOR-Reuters,6M,15/03/2007,0.04003
EUR-EURIBOR-Reuters,12M,15/03/2007,0.04113
EUR-EONIA-OIS-COMPOUND,1D,16/03/2007,0.0382
EUR-EURIBOR-Reuters,1W,16/03/2007,0.03838
EUR-EURIBOR-Reuters,2W,16/03/2007,0.03849
EUR-EURIBOR-Reuters,1M,16/03/2007,0.03862
EUR-EURIBOR-Reuters,3M,16/03/2007,0.03896
EUR-EURIBOR-Reuters,6M,16/03/2007,0.04004
EUR-EURIBOR-Reuters,12M,16/03/2007,0.04105
